diagnosis_postcode,current_postcode,count
0800,3097,1
0800,6440,1
0810,0810,1
0810,0812,1
0835,6027,1
0870,4504,1
0872,0870,1
1142,3337,1
2000,2148,1
2000,6038,1
2011,4075,1
2192,3076,1
2210,4113,1
2250,3551,1
2289,6069,1
2317,6210,1
2323,4034,1
2324,4213,1
2381,6430,1
2444,6230,1
2446,4510,1
2478,2478,1
2560,4509,1
2577,6721,1
2601,6158,1
2602,4305,1
2603,4178,1
2640,2640,2
2640,3975,1
2641,2641,1
2644,2644,1
2648,2729,1
2710,2710,1
2712,2712,1
2731,2731,2
2732,2732,1
2761,4285,1
2763,4503,1
2766,2766,1
2770,4341,1
3000,3000,4
3000,3142,1
3002,3206,1
3003,3003,1
3004,3004,1
3006,3006,1
3011,3011,6
3011,3031,1
3011,3337,1
3012,3012,11
3012,3025,1
3012,3029,1
3012,6108,1
3013,3013,6
3013,3015,1
3013,3029,1
3015,3015,9
3015,3675,1
3016,3016,6
3018,3018,8
3018,3429,1
3019,3019,4
3020,3020,14
3020,3023,1
3021,3020,1
3021,3021,18
3021,3023,3
3021,3030,1
3021,3037,1
3021,3043,1
3021,3337,1
3021,3428,1
3022,3022,4
3023,3023,34
3023,3977,1
3024,3024,20
3024,3030,1
3024,3059,1
3024,3265,1
3025,3025,3
3027,3027,3
3028,3018,1
3028,3028,9
3028,3029,1
3028,3030,2
3028,3435,1
3028,3913,1
3029,3024,1
3029,3028,1
3029,3029,46
3029,3030,2
3029,3038,1
3030,3021,1
3030,3030,55
3030,3095,1
3030,3564,1
3031,3031,13
3031,3061,1
3032,3032,5
3032,3101,1
3033,3033,9
3033,3038,1
3034,3034,4
3036,3036,4
3037,3023,1
3037,3037,16
3037,3338,1
3038,3023,1
3038,3037,1
3038,3038,10
3038,3930,1
3039,3039,4
3039,3300,1
3039,3340,1
3040,3033,2
3040,3040,11
3041,3041,6
3042,3042,7
3043,3016,1
3043,3043,14
3044,3044,13
3046,3021,1
3046,3046,13
3046,3047,2
3046,3048,1
3046,3752,1
3047,2210,1
3047,3044,1
3047,3046,2
3047,3047,7
3048,3048,17
3048,3064,1
3048,3658,1
3049,3047,1
3049,3049,4
3049,3059,1
3051,3051,3
3052,3019,1
3052,3029,1
3052,3037,1
3052,3051,1
3052,3053,1
3052,3082,1
3052,3148,1
3052,3438,1
3052,3757,1
3053,3053,1
3055,3021,1
3055,3055,2
3055,5084,1
3056,3032,1
3056,3056,5
3056,3083,1
3057,3057,3
3058,3058,10
3058,3063,1
3059,3039,1
3059,3059,7
3060,3060,5
3061,3061,1
3064,3059,1
3064,3064,38
3065,3065,2
3066,3066,4
3067,3061,1
3068,3068,7
3068,3101,1
3070,3070,4
3071,2653,1
3071,3071,3
3071,3550,1
3072,3072,6
3072,3073,1
3072,3076,1
3073,3019,1
3073,3060,1
3073,3064,2
3073,3070,1
3073,3073,12
3073,3076,1
3073,3083,1
3074,3074,12
3075,3075,3
3076,3073,1
3076,3076,18
3078,3078,4
3079,3079,4
3081,3081,1
3081,3756,1
3082,3082,10
3082,3752,1
3083,3083,8
3083,3085,1
3084,3084,9
3084,3754,1
3085,3085,4
3087,3087,6
3088,3082,1
3088,3087,1
3088,3088,12
3088,3754,1
3088,3931,1
3089,3089,7
3089,3754,2
3090,3088,1
3090,3090,1
3091,3091,2
3093,3093,2
3094,3094,4
3095,3092,1
3095,3095,8
3097,3097,1
3099,3099,2
3101,3068,1
3101,3101,5
3101,3144,1
3102,3102,3
3103,3101,1
3103,3103,1
3104,3030,1
3104,3104,5
3104,3109,1
3104,3113,1
3105,3105,3
3105,4075,1
3106,3106,6
3107,3107,6
3108,3108,5
3109,3109,7
3111,3111,2
3113,3113,3
3113,3133,1
3114,3114,4
3114,3115,1
3116,3116,6
3116,3138,1
3121,3121,4
3121,3184,1
3122,3122,3
3122,3123,1
3123,3071,1
3124,3124,5
3125,3125,3
3126,3126,3
3127,3124,1
3127,3127,7
3128,3124,1
3128,3128,3
3128,3136,1
3129,3129,2
3130,3128,1
3130,3130,6
3130,3140,1
3130,3975,1
3130,6101,1
3131,3131,6
3131,3135,1
3132,3132,2
3132,3133,1
3132,3135,1
3133,3133,6
3134,3116,1
3134,3134,10
3135,3135,7
3135,3138,1
3136,3134,1
3136,3136,16
3136,3140,1
3137,3137,5
3138,3138,7
3138,3140,1
3138,3337,1
3138,3377,1
3138,3775,1
3139,3139,4
3139,3770,1
3139,3797,1
3140,3140,5
3141,3141,6
3142,3142,3
3143,3143,1
3144,3144,3
3145,3145,2
3146,3146,7
3149,3149,2
3150,3150,5
3151,3151,1
3152,3136,1
3152,3152,3
3152,3156,1
3153,3153,5
3155,3155,2
3156,3156,5
3158,6714,1
3161,3161,3
3162,3162,4
3163,3163,3
3166,3163,1
3166,3199,1
3168,3168,1
3168,3556,1
3170,3024,1
3172,3172,1
3173,3173,1
3174,3174,3
3174,6155,1
3178,3178,3
3179,3179,1
3181,3181,3
3182,3020,1
3182,3182,2
3183,3060,1
3183,3183,8
3184,3184,2
3185,3059,1
3185,3185,6
3186,3186,3
3187,3163,1
3187,3187,3
3188,3188,1
3188,3190,1
3191,3191,1
3192,3192,1
3193,3193,2
3194,3194,1
3195,3195,3
3196,3196,1
3197,3172,1
3199,3199,1
3200,3200,1
3201,3201,3
3201,3977,1
3204,3204,2
3204,3786,1
3205,3205,4
3207,3074,1
3207,3207,3
3207,3875,1
3212,3212,3
3214,3214,4
3214,3385,1
3216,3216,2
3216,3221,1
3216,4115,1
3216,6164,1
3218,3218,2
3226,3226,1
3227,3226,1
3228,3228,1
3230,3230,1
3250,3250,2
3265,3280,1
3280,3280,3
3284,3016,1
3300,3300,3
3300,3356,1
3304,3304,2
3305,3305,1
3311,3311,1
3318,3318,1
3335,3335,1
3335,3337,1
3335,3350,1
3337,3023,1
3337,3024,1
3337,3085,1
3337,3337,17
3337,3338,1
3337,3340,3
3338,3337,1
3338,3338,9
3338,3904,1
3340,3030,1
3340,3032,1
3340,3340,16
3342,3342,2
3350,3350,2
3350,3356,1
3351,3351,1
3352,3352,4
3356,3356,3
3377,3199,1
3377,3377,3
3380,3282,1
3380,3380,1
3396,3396,1
3400,3300,1
3400,3400,4
3412,3412,1
3414,3414,2
3418,3418,2
3419,3419,1
3429,3049,1
3429,3428,1
3429,3429,26
3429,3434,1
3429,3695,1
3431,3431,5
3431,3437,1
3433,3433,1
3434,3434,4
3434,3437,1
3434,3658,1
3437,3437,5
3438,3437,1
3442,3442,3
3444,3442,1
3444,3444,5
3446,3446,1
3450,3451,1
3460,3219,1
3463,3463,1
3464,3564,1
3465,3465,1
3478,3478,1
3483,3483,1
3496,3496,1
3498,3498,1
3500,2739,1
3500,3500,3
3500,3518,1
3500,3549,1
3501,3501,1
3515,3555,1
3517,3555,1
3540,3350,1
3549,3549,1
3550,3550,8
3551,3551,2
3555,3555,4
3556,3556,2
3564,3564,4
3566,3566,1
3574,3754,1
3584,3584,1
3584,3585,1
3585,3140,1
3585,3585,5
3585,6725,1
3594,3594,1
3595,3594,1
3620,3620,3
3621,3621,2
3630,3630,1
3631,3631,1
3635,4509,1
3636,3636,1
3638,3638,1
3640,3640,1
3641,3641,1
3644,3644,1
3658,3658,4
3659,3659,1
3660,3072,1
3660,3660,2
3660,3735,1
3662,3662,3
3664,3664,2
3673,3673,1
3677,3111,1
3678,3678,1
3690,3690,5
3691,3691,1
3711,3711,1
3714,3660,1
3714,3714,1
3715,3715,1
3717,3717,3
3719,3714,1
3735,3735,1
3747,3747,1
3751,3751,1
3752,3001,1
3752,3082,1
3752,3752,16
3752,3754,1
3754,3754,7
3756,3756,12
3757,3757,7
3759,3759,1
3763,3763,1
3764,3024,1
3764,3764,8
3765,3765,4
3765,3766,1
3775,3775,3
3777,3777,5
3781,3805,1
3782,3782,1
3786,3786,1
3786,3787,1
3793,3159,1
3795,3795,1
3796,2650,1
3796,3796,4
3797,3139,1
3799,3799,1
3802,3802,1
3805,3805,2
3806,3806,1
3806,3808,1
3808,3808,1
3810,3810,2
3820,3820,1
3820,3823,1
3825,3220,1
3825,3825,2
3844,3844,1
3850,3909,1
3896,3896,1
3911,4370,1
3912,3912,1
3915,3915,1
3919,3919,1
3930,3930,1
3930,4069,1
3931,3931,1
3934,3934,2
3934,5977,1
3936,3934,1
3941,3941,1
3971,3912,1
3975,3803,1
3975,3975,1
3976,3188,1
3976,3976,3
3977,3977,2
4000,6025,1
4000,6064,1
4005,4007,1
4006,4006,1
4006,4051,1
4007,4007,2
4007,4034,1
4011,4007,1
4011,4011,4
4012,4012,3
4012,4054,1
4013,4013,2
4014,4014,4
4017,4006,1
4017,4017,14
4017,4053,1
4017,4107,1
4017,4702,1
4018,4017,2
4018,4018,4
4019,4019,3
4019,4512,1
4019,6308,1
4020,4020,1
